+--------------------------------+---------------------------------------------------------------+-------+------------+
|            phrase1             |                            phrase2                            | label | Similarity |
|           slot limit           |                      position restraints                      |   1   |     1      |
|       strong competition       |                      powerful opposition                      |   0   |     1      |
|      another application       |                    a second administration                    |   1   |     1      |
|         popular people         |                    widely known individuals                   |   1   |     1      |
|          2018 update           |                 twenty-eighteen redevelopment                 |   0   |     1      |
|         stronger line          |                          firmer band                          |   1   |     1      |
|         work potential         |                     productivity capacity                     |   0   |     1      |
|        individual print        |                     exclusive publications                    |   0   |     1      |
|         unusual period         |                        uncommon antique                       |   1   |     1      |
|           brown room           |                   chocolate-colored quarters                  |   1   |     1      |
|         local records          |                       domestic archives                       |   0   |     1      |
|           one prize            |                            a reward                           |   0   |     1      |
|         people's view          |                      community's opinion                      |   1   |     1      |
|          first source          |                       initial originator                      |   1   |     1      |
|         possible trial         |                      likely running event                     |   1   |     1      |
|         major degrees          |                          full degrees                         |   1   |     1      |
|          local scenes          |                       nearby landscapes                       |   0   |     1      |
|       past examinations        |                         previous exams                        |   0   |     1      |
|       damaging reaction        |                      detrimental backlash                     |   0   |     1      |
|      candidate's ability       |                     campaigner's capacity                     |   1   |     1      |
|          budget line           |                        low-cost series                        |   1   |     1      |
|         modified base          |                       adjusted structure                      |   1   |     1      |
|           live round           |         round of the game where contestants sing live         |   0   |     1      |
|        traditional form        |                       original rendering                      |   1   |     1      |
|         initial strain         |                           new stress                          |   0   |     1      |
|           wide body            |                    comprehensive collection                   |   0   |     1      |
|          rough shape           |                           basic form                          |   1   |     1      |
|       sole contribution        |                           only part                           |   0   |     1      |
|         general search         |                      universal inspection                     |   1   |     1      |
|         measured pace          |                        slow advancement                       |   0   |     1      |
|          second issue          |                     number-two publication                    |   0   |     1      |
|       greater resistance       |                         more pushback                         |   1   |     1      |
|      one particular area       |                    a single particular zone                   |   1   |     1      |
|          curling hair          |                      corkscrewing tresses                     |   1   |     1      |
|         production lot         |                          filming set                          |   0   |     1      |
|       specific condition       |                        distinct ailment                       |   1   |     1      |
|           every row            |                           each line                           |   1   |     1      |
|     immediate neighborhood     |                        nearby community                       |   0   |     1      |
|          flow energy           |                      energy transference                      |   0   |     1      |
|        elaborate model         |                      complicated pattern                      |   0   |     1      |
|         state division         |                     California department                     |   0   |     1      |
|        related practice        |                     corresponding activity                    |   0   |     1      |
|      final disappearance       |              ultimate exit from a known location              |   1   |     1      |
|         formerly place         |                      priorly fifth place                      |   0   |     1      |
|        higher the score        |                    longer the orchestration                   |   0   |     1      |
|       significant depth        |                   rather impressive deepness                  |   1   |     1      |
|         current appeal         |                      Contemporary demand                      |   1   |     1      |
|         landmark point         |                      notable site marker                      |   1   |     1      |
|           trail name           |                          formal title                         |   0   |     1      |
|        major structure         |                         large section                         |   0   |     1      |
|           thus power           |                           so energy                           |   1   |     1      |
|         varying nature         |                         differing type                        |   1   |     1      |
|         modelling work         |                       design maintenance                      |   0   |     1      |
|       another resolution       |                   An alternate pixel density                  |   0   |     1      |
|          left centre           |                         side position                         |   1   |     1      |
|          certain line          |                           some band                           |   1   |     1      |
|       whole neighborhood       |                          control area                         |   0   |     1      |
|          form groups           |                       foundational class                      |   1   |     1      |
|         entire channel         |                          whole canal                          |   0   |     1      |
|          another body          |                       a different corpse                      |   1   |     1      |
|       distinct identity        |                     recognizable character                    |   1   |     1      |
|          two session           |                           twin match                          |   0   |     1      |
|        particular force        |                       distinct strength                       |   1   |     1      |
|          simple push           |                           basic push                          |   1   |     1      |
|           last word            |                        concluding term                        |   0   |     1      |
|         additional use         |                          added needs                          |   0   |     1      |
|        people's choice         |                  preference of the population                 |   1   |     1      |
|         metal material         |                        glossy substance                       |   0   |     1      |
|          good tension          |                        proper pressure                        |   0   |     1      |
|      much less protection      |                  a reduced amount of defense                  |   0   |     1      |
|         initial record         |                       first achievement                       |   0   |     1      |
|          clean house           |                      immaculate dwelling                      |   0   |     1      |
|         practical end          |                         hands-on part                         |   1   |     1      |
|         complete state         |                        total situation                        |   0   |     1      |
|           back bone            |                         central figure                        |   0   |     1      |
|        internal network        |                        interior system                        |   1   |     1      |
|        overall service         |                     complete tour of duty                     |   0   |     1      |
|         better defense         |                      superior opposition                      |   0   |     1      |
|          two meeting           |                       1836 congregation                       |   0   |     1      |
|          closed space          |                          Closed Space                         |   1   |     1      |
|            new copy            |                         novel version                         |   0   |     1      |
|         first address          |                       original location                       |   1   |     1      |
|       quality production       |                       high-grade output                       |   1   |     1      |
|         company's base         |                      business' foundation                     |   1   |     1      |
|       principal receiver       |                        chief treasurer                        |   0   |     1      |
|     existing establishment     |                          current body                         |   0   |     1      |
|      final disappearance       |                          end of cycle                         |   0   |     1      |
|       particular record        |                        specific account                       |   0   |     1      |
|         innate ability         |                        natural capacity                       |   0   |     1      |
|           fine place           |                         nice location                         |   0   |     1      |
|          larger pool           |                       Greater collection                      |   0   |     1      |
|         higher height          |                       greater elevation                       |   0   |     1      |
|       reverse direction        |                         opposite trend                        |   0   |     1      |
|          full contact          |                        person-on-person                       |   1   |     1      |
|        essential power         |                          Core energy                          |   0   |     1      |
|            one push            |                     one source of pressure                    |   1   |     1      |
|         least one end          |                  not less than a single goal                  |   1   |     1      |
|         meeting areas          |                       intersection zones                      |   0   |     1      |
|           near ones            |                         nearby beings                         |   0   |     1      |
|          painful way           |                      excruciating method                      |   0   |     1      |
|       official guardian        |                       approved custodian                      |   0   |     1      |
|          current body          |                      live physical frame                      |   1   |     1      |
|           sole goal            |                       singular objective                      |   0   |     1      |
|        full protection         |                          total safety                         |   1   |     1      |
|         complete unit          |                         standalone set                        |   0   |     1      |
|         required work          |                        mandated service                       |   1   |     1      |
|         defensive line         |                   football defense position                   |   0   |     1      |
|           next point           |                        upcoming subject                       |   1   |     1      |
|          first pillar          |                        original column                        |   1   |     1      |
|        traveling light         |                    the song Traveling Light                   |   0   |     1      |
|         added support          |                        included a means                       |   1   |     1      |
|       force requirements       |                    armed forces requisites                    |   1   |     1      |
|          better match          |                   more suitable counterpart                   |   1   |     1      |
|           annual run           |                      yearlong performance                     |   0   |     1      |
|       following picture        |                         coming account                        |   1   |     1      |
|         visual record          |                      photographic display                     |   1   |     1      |
|     cultural presentation      |                 heritage appreciation showcase                |   1   |     1      |
|       particular action        |                          certain act                          |   0   |     1      |
|         contact centre         |                      communication office                     |   1   |     1      |
|         middle course          |                          median road                          |   0   |     1      |
|       local explanation        |                          local theory                         |   1   |     1      |
|          current body          |                      live physical frame                      |   0   |     1      |
|          mobile frame          |                       movable framework                       |   1   |     1      |
|         special order          |                         city ordinance                        |   1   |     1      |
|        existing history        |                         existent past                         |   0   |     1      |
|       typical formation        |                       normal arrangement                      |   0   |     1      |
|         joint defense          |                     cooperative protection                    |   0   |     1      |
|         moribund state         |                            run down                           |   0   |     1      |
|         initial degree         |                         first exponent                        |   1   |     1      |
|          print press           |                        cylinder machine                       |   1   |     1      |
|          normal heart          |                         healthy organ                         |   1   |     1      |
|        military fighter        |                        trained soldier                        |   1   |     1      |
|          full charge           |                         complete load                         |   0   |     1      |
|         stronger tone          |                   powerful vocal inflection                   |   1   |     1      |
|     children's engagement      |                         kid's function                        |   0   |     1      |
|        significant fall        |                      substantial collapse                     |   0   |     1      |
|         special board          |                      distinct association                     |   0   |     1      |
|        site activities         |                      on-site things to do                     |   1   |     1      |
|           gold flow            |                        golden waterfall                       |   0   |     1      |
|        ultimate control        |                         extreme power                         |   0   |     1      |
|        primary producer        |                      principal generator                      |   0   |     1      |
|          whole points          |                          entire marks                         |   1   |     1      |
|           smart way            |                          good manner                          |   1   |     1      |
|         license number         |                  certification identification                 |   0   |     1      |
|            job lead            |                         position cause                        |   0   |     1      |
|           last notes           |                         ending sounds                         |   1   |     1      |
|        strong movement         |                         major campaign                        |   0   |     1      |
|         required level         |                  restricted minimum user rank                 |   0   |     1      |
|         whose interest         |                          who so ever                          |   0   |     1      |
|           tiny part            |                        small acting gig                       |   1   |     1      |
|     revolutionary activity     |                     Groundbreaking events                     |   0   |     1      |
|         couple members         |                       romantic partners                       |   1   |     1      |
|      system's circulation      |                 organization's book collection                |   0   |     1      |
|        basic background        |                         plain backdrop                        |   0   |     1      |
|        much larger pool        |                    lot bigger swimming area                   |   0   |     1      |
|          missed call           |                      telephoning attempt                      |   0   |     1      |
|         defensive line         |                   football defense positions                  |   1   |     1      |
|          2018 update           |              Two-thousand-eighteen modernization              |   0   |     1      |
|      established practice      |                        Familiar process                       |   0   |     1      |
|          either year           |                       both of the years                       |   0   |     1      |
|          high impact           |                        maximum results                        |   0   |     1      |
|        different market        |                    separate target audience                   |   1   |     1      |
|           wild game            |                       rowdy competition                       |   1   |     1      |
|            one post            |                        a singular after                       |   1   |     1      |
|          bottom table          |                          end section                          |   1   |     1      |
|           one sweep            |                        a singular scan                        |   1   |     1      |
|       third incarnation        |                        third embodiment                       |   1   |     1      |
|         fast movements         |                          rapid scores                         |   1   |     1      |
|         current level          |                        present capacity                       |   0   |     1      |
|         original roll          |                         first rotation                        |   0   |     1      |
|           main point           |                            key idea                           |   0   |     1      |
|          primary hand          |                          dominant paw                         |   0   |     1      |
|         core condition         |                         main disorder                         |   1   |     1      |
|       long relationship        |                       dedicated romance                       |   1   |     1      |
|          extreme tip           |                            last bit                           |   1   |     1      |
|           best judge           |                     most effective arbiter                    |   1   |     1      |
|        direct pressure         |                         applied force                         |   0   |     1      |
|      particular structure      |                          certain form                         |   1   |     1      |
|       initial character        |                          first symbol                         |   0   |     1      |
|        official returns        |                      established profits                      |   1   |     1      |
|        underlying work         |                       original art piece                      |   1   |     1      |
|          local camps           |                       community factions                      |   1   |     1      |
|           third body           |                        tertiary figure                        |   0   |     1      |
|          given order           |                         exact sequence                        |   1   |     1      |
|           right door           |                        appropriate gate                       |   0   |     1      |
|          death party           |                      celebration of life                      |   0   |     1      |
|          live rounds           |                     ammunition cartridges                     |   0   |     1      |
|         primary class          |                       Elementary course                       |   1   |     1      |
|      recognition process       |                     independence procedure                    |   1   |     1      |
|  one significant development   |                a singular noteworthy structure                |   0   |     1      |
|         average looks          |                       generally appears                       |   0   |     1      |
|         house persons          |                          hold people                          |   0   |     1      |
|        poor regulation         |                         low modulation                        |   1   |     1      |
|     political deliberation     |                        civil discourse                        |   0   |     1      |
|          second cross          |                      consecutive marking                      |   0   |     1      |
|      earlier application       |                        prior employment                       |   1   |     1      |
|       maximum allowance        |                          cut-off time                         |   1   |     1      |
|         uniform design         |                        outfit's styling                       |   1   |     1      |
|           true shape           |                        final appearance                       |   1   |     1      |
|          decent score          |                      nice musical number                      |   0   |     1      |
|       individual segment       |                         original piece                        |   0   |     1      |
|      dissolution process       |                         closing phase                         |   1   |     1      |
|          common point          |                    dot in the same position                   |   1   |     1      |
|          lift program          |                        flying training                        |   1   |     1      |
|          us practice           |                        American customs                       |   0   |     1      |
|       careful attention        |                     conscientious command                     |   0   |     1      |
|       greatest emphasis        |                       large accentuation                      |   0   |     1      |
|        force production        |                       strength available                      |   0   |     1      |
|          total swing           |                    political pendulum shift                   |   0   |     1      |
|           one asset            |                          an advantage                         |   0   |     1      |
|       treatment process        |                      processing procedure                     |   0   |     1      |
|         final conflict         |                           End Battle                          |   0   |     1      |
|        original channel        |                          Own network                          |   1   |     1      |
|         possible trial         |                      likely running event                     |   0   |     1      |
|        channel systems         |                        route structures                       |   0   |     1      |
|        remaining force         |                        leftover energy                        |   1   |     1      |
|          bottom board          |                          lower panel                          |   1   |     1      |
|         house members          |                       cabinet officials                       |   1   |     1      |
|         overall colony         |                       general territory                       |   1   |     1      |
|       established series       |                 original sequence of episodes                 |   1   |     1      |
|           back areas           |                        hidden sections                        |   0   |     1      |
|          low exposure          |                         a little light                        |   0   |     1      |
|         local circuit          |                     community competitions                    |   1   |     1      |
|           top figure           |                         leading member                        |   1   |     1      |
|          ninth month           |                     ninth sequential moon                     |   1   |     1      |
|       predictable course       |                       expected sequence                       |   1   |     1      |
|           one jockey           |                          horse rider                          |   1   |     1      |
|         another system         |                       a new conglomerate                      |   0   |     1      |
|          past feature          |                           prior song                          |   1   |     1      |
|           best judge           |                     most effective arbiter                    |   0   |     1      |
|      quicker development       |                        swifter increase                       |   0   |     1      |
|         ground change          |                          new location                         |   0   |     1      |
|          another sack          |                         a further raid                        |   1   |     1      |
|       linear development       |                         elongated area                        |   1   |     1      |
|        four-month trial        |                   quarter length litigation                   |   0   |     1      |
|          modern point          |                          current mark                         |   1   |     1      |
|          higher type           |                         superior kind                         |   0   |     1      |
|          home network          |             the broadcasting office he worked for             |   1   |     1      |
|            two date            |                        a couple go back                       |   1   |     1      |
|  public and financial support  |                   media and monetary backing                  |   0   |     1      |
|       potential exposure       |                         likely hazard                         |   0   |     1      |
|         complete unit          |                           whole item                          |   0   |     1      |
|          one official          |                         single officer                        |   1   |     1      |
|       executive function       |                 cognitive behavioral processes                |   0   |     1      |
|           next point           |                        later objective                        |   1   |     1      |
|           every case           |                         all instances                         |   1   |     1      |
|          whole scene           |                          entire event                         |   1   |     1      |
|           brown room           |                          Brown leeway                         |   0   |     1      |
|       vigorous exercise        |                      strenuous operation                      |   0   |     1      |
|         family issues          |                       domestic policies                       |   0   |     1      |
|       constant movement        |                       continuous motion                       |   1   |     1      |
|           two place            |                          two rankings                         |   1   |     1      |
|           large cut            |                      significant section                      |   1   |     1      |
|        relative nature         |                      respective locations                     |   1   |     1      |
|          higher peak           |                         greater crest                         |   1   |     1      |
|          whole scene           |                         complete image                        |   1   |     1      |
|        support capacity        |                        supportive role                        |   1   |     1      |
|           one donor            |                     a financial benefactor                    |   1   |     1      |
|        seasonal record         |                        Christmas album                        |   1   |     1      |
|            sea wind            |                          ocean breeze                         |   0   |     1      |
|           active men           |                      males who move more                      |   1   |     1      |
|        reasonable level        |                      satisfactory degree                      |   1   |     1      |
|         major version          |                        major variation                        |   0   |     1      |
|        historical debt         |                       amount outstanding                      |   0   |     1      |
|        extensive space         |                      Fair amount of room                      |   0   |     1      |
|         little ground          |                     limited landscape area                    |   0   |     1      |
|           smart way            |                          good manner                          |   0   |     1      |
|         regular period         |                        typical duration                       |   1   |     1      |
|         right approach         |                      performance practice                     |   1   |     1      |
|           one sweep            |                           one broom                           |   0   |     1      |
|           tough skin           |                         strong surface                        |   0   |     1      |
|     consistent resistance      |                         steady tension                        |   0   |     1      |
|          american one          |                  work from the United States                  |   1   |     1      |
|        regular practice        |                       daily application                       |   0   |     1      |
|         party support          |                     political endorsement                     |   1   |     1      |
|          major rules           |                      significant findings                     |   0   |     1      |
|        different cross         |                     crucifix shaped piece                     |   0   |     1      |
|         varying nature         |                       changing landscape                      |   1   |     1      |
|        normal character        |                         regular person                        |   1   |     1      |
|         bitter street          |                          sour avenue                          |   0   |     1      |
|         running battle         |                       continuous combat                       |   1   |     1      |
|       religious service        |                        church ceremony                        |   0   |     1      |
|         uniform design         |                        outfit's styling                       |   0   |     1      |
|            one slip            |                             a fall                            |   0   |     1      |
|           fine place           |                         "A Fine Place"                        |   0   |     1      |
|       continued service        |                         sustained work                        |   1   |     1      |
|           whole club           |                      entire organization                      |   1   |     1      |
|          larger pool           |                       Greater collection                      |   1   |     1      |
|          resting time          |                          idle moment                          |   1   |     1      |
|           good links           |                        apt connections                        |   1   |     1      |
|         main approach          |                          primary way                          |   1   |     1      |
|         apparent power         |                         probable force                        |   0   |     1      |
|        global standing         |                        worldwide level                        |   1   |     1      |
|           open front           |                          exposed lead                         |   0   |     1      |
|         last two cases         |                   two most recent elections                   |   1   |     1      |
|           every case           |                           each trial                          |   1   |     1      |
|      immediate background      |                        surrounding zone                       |   0   |     1      |
|         major stature          |                     considerable standing                     |   0   |     1      |
|         average access         |                          normal entry                         |   1   |     1      |
|           key weapon           |                       primary ammunition                      |   0   |     1      |
|       ordinary material        |                       mundane documents                       |   0   |     1      |
|        large government        |                wide-reaching legislative power                |   0   |     1      |
|         special board          |                 specifically designed platform                |   0   |     1      |
|          toilet water          |                       perfume fragrance                       |   0   |     1      |
|         whole compound         |                          entire base                          |   0   |     1      |
|            low key             |                       understated status                      |   0   |     1      |
|       destructive effect       |                       harmful influence                       |   1   |     1      |
|          minimal work          |                       tiny contributions                      |   1   |     1      |
|           entire day           |                         24-hour period                        |   1   |     1      |
|           best match           |                      most related pairing                     |   1   |     1      |
|         base building          |                         main building                         |   0   |     1      |
|          past record           |                         former history                        |   0   |     1      |
|            one data            |                     a particular research                     |   0   |     1      |
|           every case           |                           each trial                          |   0   |     1      |
|        strong movement         |                        powerful faction                       |   0   |     1      |
|           heavy bag            |                         punching sack                         |   0   |     1      |
|        reasonable level        |                       sufficient degree                       |   1   |     1      |
|           huge round           |                     tremendous progression                    |   1   |     1      |
|         good position          |                         suitable place                        |   1   |     1      |
|          donor group           |                 organization that raised money                |   0   |     1      |
|          informal one          |                        unofficial game                        |   0   |     1      |
|           big threat           |                           Big Threat                          |   1   |     1      |
|         good prospects         |                        potential assets                       |   1   |     1      |
|        current section         |                          Present area                         |   0   |     1      |
|          dream state           |                          fantasy mood                         |   0   |     1      |
|           focal area           |                         major periods                         |   0   |     1      |
|          pit managers          |                         center leaders                        |   0   |     1      |
|       particular account       |                         specific user                         |   1   |     1      |
|           quick run            |                           fast trip                           |   0   |     1      |
|          much notice           |                     considerable attention                    |   1   |     1      |
|           sugar tax            |                       levy on sweetener                       |   1   |     1      |
|            set rate            |                        specific degree                        |   0   |     1      |
|        support features        |                additional ancillary components                |   1   |     1      |
|         single setting         |                         one selection                         |   0   |     1      |
|         creative style         |                     preset color settings                     |   1   |     1      |
|      concentrated energy       |                         focused power                         |   0   |     1      |
|        peripheral part         |                        exterior portion                       |   1   |     1      |
|         media service          |                  communications career field                  |   1   |     1      |
|        official limits         |                       legal limitations                       |   1   |     1      |
|          primary hand          |                         dominant manus                        |   1   |     1      |
|          shaw's pass           |                        the famous route                       |   1   |     1      |
|          every charge          |                        all allegations                        |   0   |     1      |
|        respective side         |                       individual faction                      |   1   |     1      |
|         physical love          |                        bodily affection                       |   1   |     1      |
|        even the opening        |                 as it happens, the first move                 |   0   |     1      |
|         similar record         |                       comparable account                      |   0   |     1      |
|        respective side         |                        particular place                       |   1   |     1      |
|           loan term            |                        Payback duration                       |   1   |     1      |
|        full engagement         |                          major battle                         |   1   |     1      |
|            top draw            |                        main attraction                        |   0   |     1      |
|           top figure           |                          upper image                          |   1   |     1      |
|         simple motion          |                    straightforward petition                   |   0   |     1      |
|          access code           |                 Telecommunications link digits                |   1   |     1      |
|        official vehicle        |                         executive car                         |   1   |     1      |
|          2nd segment           |                           final part                          |   1   |     1      |
|       construction stage       |                         building phase                        |   1   |     1      |
|            high end            |                  high extreme of the spectrum                 |   1   |     1      |
|          second tract          |                          other tunnel                         |   0   |     1      |
|           last mile            |                         final stretch                         |   0   |     1      |
|          material one          |                       significant thing                       |   0   |     1      |
|         subject states         |                    person of interest said                    |   0   |     1      |
|        another edition         |                     an additional version                     |   1   |     1      |
|         central office         |                          main station                         |   0   |     1      |
|         perceived role         |                          assumed part                         |   0   |     1      |
|          uk practice           |                      United Kingdom firm                      |   0   |     1      |
|        children's play         |                          youth drama                          |   0   |     1      |
|          another bar           |                        additional piece                       |   1   |     1      |
|          normal heart          |                         healthy organ                         |   0   |     1      |
|      longest performance       |                   Most extended presentation                  |   1   |     1      |
|        general service         |                           common use                          |   0   |     1      |
|         1995 campaign          |                      mid-90s competitions                     |   0   |     1      |
|       whole neighborhood       |                       entire living area                      |   1   |     1      |
|          major design          |                    important scale-drawing                    |   0   |     1      |
|         single spring          |                           sole coil                           |   1   |     1      |
|        wonderful drive         |                         beautiful trip                        |   0   |     1      |
